label,T_air_C,mode,m_dot_refrigerant_kgs,n_active_compressors,to_C,tc_C,T_discharge_C,P_compressor_kW,COP_compressor,Q_condenser_kW,condenser_subcool_K,condenser_dP_ref_kPa,condenser_dP_glycol_kPa,eev_quality,eev_Kv_m3h,evaporator_superheat_K,evaporator_dP_ref_kPa,evaporator_dP_water_kPa,econ_dP_water_kPa,econ_dP_glycol_kPa,econ_UA_kWK,econ_LMTD_K,tube_suction,v_suction_ms,tube_discharge,v_discharge_ms,tube_liquid,v_liquid_ms,m_dot_water_kgs,m_dot_glycol_kgs,P_glycol_pump_kW,P_chw_pump_kW,fan_speed_pct,P_fan_kW,Q_delivered_kW,P_other_kW,PUE,COP_sys_fc
Jan,-4.755376344086021,free_cooling,,,,,,0.0,,,,,,,,,,,6.6706334456996705,10.426082216120406,25.0,6.0,,,,,,,5.972859327217125,6.518394910437253,0.5544996521530432,1.0917052097922064,24.10397238915495,0.1504077258855569,150.0,1.7966125878308064,1.0119774172522054,83.49045365484551
Feb,-1.287202380952381,free_cooling,,,,,,0.0,,,,,,,,,,,6.6706334456996705,10.426082216120406,25.0,6.0,,,,,,,5.972859327217125,6.518394910437253,0.5544996521530432,1.0917052097922064,30.949961959884476,0.3184084906533279,150.0,1.9646133525985774,1.013097422350657,76.35090120994865
Mar,6.045161290322581,mechanical,0.4134671969720053,1,14.55002608307812,23.045161290322582,42.25750298498559,11.41967022997516,13.13523043828965,161.41967022997488,4.768353331145306,5.388964976333032,14.228865537492084,0.026140686467319315,1.5743748735737964,10.203417811219822,6.631292273577388,7.734878959661651,,,,,"2-1/8""",13.761361950943447,"2-1/8""",11.558155032651413,"1-1/8""",1.3642377718530867,5.9728593272171135,8.298145237371797,1.7091764695147074,1.0917052097922064,61.297369393120796,2.473601822581201,149.99999999999972,16.694153731863278,1.111294358212422,
Apr,12.218611111111112,mechanical,0.462191654135933,2,-4.005990294343621,29.218611111111112,55.344010443983564,32.65439556077552,4.593562288446709,182.65439556077462,4.8038990161641095,5.1237164451309045,17.911041809453916,0.1917819050024707,0.940047935309069,10.64226468861824,11.974097408483908,7.734878959661589,,,,,"2-5/8""",17.046133404750954,"2-1/8""",11.465890231381403,"1-3/8""",1.0379092550959619,5.972859327217089,9.389764583512381,1.7091764695147074,1.0917052097922064,75.69428293405551,4.657936020133283,149.9999999999991,40.113213260215716,1.267421421734773,
May,15.714112903225805,mechanical,0.4741417749786619,2,-2.8822288451484077,32.714112903225804,58.60031969278447,34.65819565406974,4.327980645535602,184.65819565406986,4.824287570535262,4.893801969281594,18.28024146430716,0.2103557463057369,0.914019084742756,10.624951233556885,12.05826913466213,7.73487895966169,,,,,"2-5/8""",16.908043685781255,"2-1/8""",10.795031219511513,"1-3/8""",1.0766343993018939,5.9728593272171295,9.492774484208706,1.7091764695147074,1.0917052097922064,77.10506203226986,4.9232620672187855,150.0000000000001,42.38233940059544,1.2825489293373027,
Jun,22.31597222222222,mechanical,0.49883922788557034,2,-0.635740813176199,39.31597222222222,64.80212055440535,38.65899068891029,3.880080605493647,188.65899068891127,4.856372984974428,4.498562697224343,19.028599349681492,0.24603288406390136,0.8767172692196579,10.591062535471508,12.20949968587238,7.734878959661778,,,,,"2-5/8""",16.643710977710942,"1-5/8""",17.165667132638042,"1-3/8""",1.158039610498612,5.972859327217164,9.698444451299897,1.7091764695147074,1.0917052097922064,79.99180851953706,5.497191024148662,150.000000000001,46.95706339236587,1.313047089282437,
Jul,25.05336021505376,mechanical,0.509992653412688,2,0.35194706280273125,42.05336021505376,67.38683597047805,40.39721699382485,3.7131270706823574,190.39721699382602,4.867648554397022,4.34764088845781,19.358394571942288,0.26104582337521043,0.8651981219250257,10.576415983498293,12.267475991959456,7.734878959661799,,,,,"2-5/8""",16.53043566864479,"1-5/8""",16.45644441511535,"1-3/8""",1.195417243917995,5.972859327217174,9.787801927455392,1.7091764695147074,1.0917052097922064,81.27560469762076,5.766136372217996,150.00000000000122,48.96423504534976,1.3264282336356623,
Aug,22.806451612903224,mechanical,0.5007957609093464,2,-0.4614009789815915,39.806451612903224,65.26479819827091,38.967085205465,3.849402622985083,188.96708520546565,4.858471670368658,4.471008157787543,19.086848745918353,0.24871354306147117,0.8744943747414405,10.588466597187448,12.220132691921433,7.734878959661741,,,,,"2-5/8""",16.623622863562044,"1-5/8""",17.0346639318791,"1-3/8""",1.1645685224580458,5.97285932721715,9.71428275057014,1.7091764695147074,1.0917052097922064,80.21803364601035,5.543962929074758,150.00000000000065,47.31192981384666,1.315412865425643,
Sep,18.512638888888887,mechanical,0.48425278663691856,2,-1.9514973073815767,35.51263888888889,61.22254789512533,36.32045581009623,4.129904117511207,186.32045581009663,4.838818172765059,4.720450138921236,18.589356724971317,0.2253861759941173,0.8964530526457898,10.610807055372902,12.123976205362295,7.734878959661715,,,,,"2-5/8""",16.797058173098822,"2-1/8""",10.303905650811718,"1-3/8""",1.109736156122337,5.97285932721714,9.57822674772377,1.7091764695147074,1.0917052097922064,78.29304945246054,5.154350028028135,150.00000000000037,44.27568751743127,1.2951712501162078,
Oct,11.493682795698923,mechanical,0.45980241429208246,2,-4.234207533279936,28.493682795698923,54.67193519704392,32.24924381354612,4.651271852054815,182.24924381354552,4.799324221348513,5.173399295808724,17.83684823189259,0.18795861518213425,0.9460703570008926,10.645817865254799,11.956468539517367,7.734878959661614,,,,,"2-5/8""",17.074873460861472,"2-1/8""",11.613675523623776,"1-3/8""",1.0302179508114107,5.9728593272171,9.368936836578616,1.7091764695147074,1.0917052097922064,75.41185155543482,4.605991087410403,149.99999999999937,39.65611658026344,1.2643741105350907,
